document_id,citation_de,citations_list
5145860,3416692,['3416692']
4101008,4101007,['4101007']
4101571,4077706,['4077706']
1028874,912456,['912456']
5073556,2066256,['2066256']
2164180,1744228,['1744228']
3202853,3194489; 3204994,['3194489']
446934,58159,['58159']
4157807,4088865,['4088865']
786385,783477,['783477']
164907,25380,['25380']
3860570,3860571,['3860571']
6147703,1958611,['1958611']
1515832,4020069; 739283,"['4020069', '739283']"
428246,4165269,['4165269']
1880573,1969054,['1969054']
6273929,5547359,['5547359']
3987589,3891654,['3891654']
1134688,1101434,['1101434']
5848599,5139358,['5139358']
6155102,6025612,['6025612']
5790106,4119192,['4119192']
1894689,1523545,['1523545']
5522164,3968961; 4127536,"['3968961', '4127536']"
4185917,4185918; 4154674,"['4185918', '4154674']"
1810357,788612,['788612']
5127331,2147155,['2147155']
7642722,7309993,['7309993']
5230870,2246721,['2246721']
4054475,4054474,['4054474']
3647367,3606391,['3606391']
937821,4120551,['4120551']
3963153,3963152,['3963152']
7701280,6845833; 7422431,"['6845833', '7422431']"
1254492,1254491,['1254491']
6182274,5009847; 5674934,"['5009847', '5674934']"
1750735,1387501,['1387501']
627607,3968800,['3968800']
7698623,7538366; 3286051,"['7538366', '3286051']"
19744,3597288; 51909,['51909']
3963979,3963980; 3487581,['3963980']
6277686,6186462,['6186462']
614587,614533,['614533']
3953564,3953563,['3953563']
21072,7017,['7017']
7031280,6915836,['6915836']
6131328,6004103,['6004103']
3879154,3879153; 3879152,"['3879153', '3879152']"
7402588,3944447,['3944447']
7202542,5321306,['5321306']
125603,53963,['53963']
6135942,5033650,['5033650']
1225574,695600,['695600']
5275775,5123953,['5123953']
1279041,927978,['927978']
150553,4212663,['4212663']
4041226,4024730,['4024730']
61138,61137,['61137']
1121500,22720,['22720']
1474748,1329120,['1329120']
5648507,2105193,['2105193']
5354512,5211214; 2230550,"['5211214', '2230550']"
727017,740303,['740303']
4028065,3969274,['3969274']
56870,14163,['14163']
1956900,4212790,['4212790']
1369519,3953653,['3953653']
4081745,4033931; 4032497,"['4033931', '4032497']"
1747693,1275811,['1275811']
5056215,1907924,['1907924']
1683287,800304,['800304']
1523247,500217,['500217']
1368747,913815; 788749,"['913815', '788749']"
4102389,0148.390; 4037048,['4037048']
11867,3422511,['3422511']
1591733,4065907,['4065907']
788369,91974,['91974']
70101,3941711,['3941711']
1925290,1503260,['1503260']
465105,194168,['194168']
1600425,1338133,['1338133']
5030874,1801640; 1506537,"['1801640', '1506537']"
1763666,840382,['840382']
722211,722210,['722210']
6828060,109271,['109271']
1518738,1074504; 3648641,['1074504']
5667455,5232446,['5232446']
58129,4105575,['4105575']
32570,4847,['4847']
4200770,4200735,['4200735']
5121484,2201971,['2201971']
6542266,3935736,['3935736']
3868529,3868528,['3868528']
1205904,1121180,['1121180']
4189911,3853149; 0153.025,['3853149']
34368,4183396; 4195921,"['4183396', '4195921']"
6006741,6006740,['6006740']
4164054,4164055,['4164055']
179153,96117; 92555,"['96117', '92555']"
4021994,4021993,['4021993']
5028840,2136730,['2136730']
3891594,3859363,['3859363']
5272735,5144853,['5144853']
3430819,3400809; 3079630,['3079630']
1045844,1045847,['1045847']
1384791,1361289,['1361289']
5899029,5201723,['5201723']
31434,3910737,['3910737']
61482,4038219,['4038219']
2091754,4101947,['4101947']
4179458,4179457,['4179457']
6108097,5151878,['5151878']
5042157,5042244,['5042244']
2246235,2107541,['2107541']
783822,696846,['696846']
2124501,2124500,['2124500']
6654438,6668175,['6668175']
96958,3850100,['3850100']
39340,29296; 60908,"['29296', '60908']"
520078,520063,['520063']
5672992,5672970,['5672970']
3910481,3910480,['3910480']
233230,14236,['14236']
5570776,1874408,['1874408']
5354754,4058212,['4058212']
3877084,3871187,['3871187']
4180654,3978268,['3978268']
1471591,1357889,['1357889']
6228984,5816860,['5816860']
7616874,6759377,['6759377']
1419450,1456987,['1456987']
3906308,3867137,['3867137']
1053445,894216,['894216']
4042756,4042753; 4042755; 4042757,"['4042753', '4042755', '4042757']"
2110044,1717432,['1717432']
4196931,3927892,['3927892']
4073676,3977349,['3977349']
801064,729123,['729123']
1827847,817771,['817771']
6124968,6128316,['6128316']
813854,4012941,['4012941']
1777312,4154536,['4154536']
4216505,4161197; 3836764,['4161197']
1805717,1338264,['1338264']
4198934,4133029; 4198934,"['4133029', '4198934']"
21411,3194735,['3194735']
4211960,4135863,['4135863']
1290987,1425066; 1271673,"['1425066', '1271673']"
2144354,605252,['605252']
5000414,2100143,['2100143']
1444148,1134828,['1134828']
558960,220738,['220738']
3963265,3963324,['3963324']
3925112,3925111; 3865581,"['3925111', '3865581']"
4068923,3997843; 3954968,['3954968']
4217438,404396,['404396']
4031805,4006358,['4006358']
622022,2678524,['2678524']
2226146,2226145,['2226145']
5706289,1915168,['1915168']
4156535,4136035,['4136035']
4080606,3978111,['3978111']
1046057,1046071,['1046071']
18123,4101179,['4101179']
4150264,3955123,['3955123']
6527791,6266167,['6266167']
5815529,3984623,['3984623']
5723368,5723364,['5723364']
1741954,1367551,['1367551']
57037,4042479,['4042479']
5161930,5021233,['5021233']
3999970,3966120,['3966120']
469286,227215,['227215']
20280,3881389; 3846355,['3846355']
5082973,2061134,['2061134']
2211468,1934768,['1934768']
2186229,4028330,['4028330']
426399,549671,['549671']
1610001,52313,['52313']
6427910,2076673,['2076673']
1506343,1202917,['1202917']
5289500,1071752,['1071752']
6011551,5817081,['5817081']
5773383,6591433,['6591433']
878684,892277,['892277']
5031758,1943248,['1943248']
4012814,3955119,['3955119']
1315262,96535; 409908,"['96535', '409908']"
540938,4177067,['4177067']
3900241,3900242,['3900242']
704003,549691,['549691']
7534023,7243397,['7243397']
4042801,3967390,['3967390']
5882457,5831755,['5831755']
1744287,1657536,['1657536']
6048394,5166897,['5166897']
150051,150050,['150050']
3948482,3944027,['3944027']
4000234,3955255,['3955255']
613255,3903458,['3903458']
1908324,702561,['702561']
6107767,6039982,['6039982']
1706194,1689610,['1689610']
5614092,5346658,['5346658']
4091440,4004112,['4004112']
34667,4162169,['4162169']
3954913,3954912,['3954912']
847721,640837,['640837']
926354,825086,['825086']
4057675,3557938,['3557938']
5827324,3250679,['3250679']
1409125,1171008,['1171008']
2006806,1746626; 1746625,"['1746626', '1746625']"
5154840,3937765,['3937765']
1422986,1422985,['1422985']
4027570,4027569,['4027569']
5491085,2186601; 5226404,"['2186601', '5226404']"
7442386,7243496,['7243496']
1525070,1522144; 1555491,"['1522144', '1555491']"
1907133,3880692,['3880692']
5778234,5505971,['5505971']
2225996,1748360,['1748360']
6138287,5821948,['5821948']
5568919,1990787,['1990787']
941011,941010; 890294,"['941010', '890294']"
558618,3814306; 3973568,['3973568']
604828,95073,['95073']
5793224,5627906,['5627906']
1660786,895605,['895605']
1307897,1444767,['1444767']
3983527,3937450,['3937450']
2093609,1743130,['1743130']
5025144,2097157,['2097157']
5625334,1329189,['1329189']
1066204,3966224,['3966224']
1417005,1246526; 1211720,"['1246526', '1211720']"
23486,3277581; 3138266; 4200465,['4200465']
4123316,4076645,['4076645']
6334293,5161788,['5161788']
729791,3979517,['3979517']
1053377,871835,['871835']
20906,20896,['20896']
3950754,3950753,['3950753']
1983925,1983919,['1983919']
4101581,4101580,['4101580']
572119,515673,['515673']
5031880,5031879,['5031879']
840345,549517,['549517']
1916097,917201,['917201']
902758,120164,['120164']
936740,681391,['681391']
5533893,2232835,['2232835']
562994,4073978,['4073978']
4202352,4202351,['4202351']
5541245,1633175,['1633175']
4109767,3990544,['3990544']
961139,493439,['493439']
3877357,3877358,['3877358']
5507714,5507713,['5507713']
4208268,4074030,['4074030']
1843994,1150984,['1150984']
5722636,5148347; 5222360,"['5148347', '5222360']"
1440955,1028184,['1028184']
5869531,1737190,['1737190']
6114711,5776089,['5776089']
3972261,3972263,['3972263']
1595054,1261,['1261']
4075886,3923335,['3923335']
4213332,4213333,['4213333']
4080093,3897529,['3897529']
221353,78012,['78012']
3986046,3986044; 3986045,"['3986044', '3986045']"
5292564,5077672; 5072505; 2198236; 757431; 5319873,"['5077672', '5072505', '2198236', '757431', '5319873']"
2239286,1744108,['1744108']
1584926,1515804,['1515804']
1343238,3860003,['3860003']
1270874,3953037,['3953037']
950077,537275,['537275']
7495965,7490532,['7490532']
1890541,917853,['917853']
4120223,3845642; 4120222,"['3845642', '4120222']"
5344341,2172983,['2172983']
1439894,1305086,['1305086']
4050340,4040634,['4040634']
885064,3936236,['3936236']
7045455,6212087,['6212087']
62882,4093942,['4093942']
727812,29985,['29985']
819091,784884,['784884']
2198235,2115475,['2115475']
5369657,4011205,['4011205']
411587,4088396,['4088396']
1374947,3105076,['3105076']
4181460,4053714,['4053714']
3112015,3082691,['3082691']
1897055,3927983,['3927983']
724027,724026,['724026']
6282772,5852556,['5852556']
5687738,168502,['168502']
5944405,4130371,['4130371']
1066401,94206,['94206']
2066386,1886705,['1886705']
836703,3944638,['3944638']
4213142,4082634,['4082634']
952547,885513,['885513']
1084780,703653,['703653']
556304,4002155,['4002155']
1640426,1076312,['1076312']
4127288,4068842,['4068842']
169531,77952,['77952']
5238259,2189600,['2189600']
6861655,6861654,['6861654']
193115,3869411,['3869411']
7262255,5849173,['5849173']
525685,3713827,['3713827']
6108150,5976154,['5976154']
7306587,1956344,['1956344']
5933039,5843947,['5843947']
938526,3937534,['3937534']
1660841,1343268,['1343268']
5998319,2100965,['2100965']
27066,4136102,['4136102']
29764,3317935,['3317935']
5573987,5003811,['5003811']
29905,4214384,['4214384']
2186317,1698909,['1698909']
5214411,5151088,['5151088']
2235741,1546910,['1546910']
5489299,5312545,['5312545']
6329348,6287950,['6287950']
1094014,3893849,['3893849']
3999181,3986325,['3986325']
3868103,3868102,['3868102']
579394,3884279,['3884279']
770215,591338,['591338']
7000278,5714247,['5714247']
238321,4049841,['4049841']
5836550,5610431; 5135166,"['5610431', '5135166']"
917815,917814,['917814']
60070,3387622; 68493,['68493']
53623,53626; 50367; 53627,"['53626', '50367', '53627']"
2108261,2108217; 2121197,"['2108217', '2121197']"
653312,431321,['431321']
1971023,554357,['554357']
1593886,1286457,['1286457']
5540692,4142733,['4142733']
5556112,1109786,['1109786']
1790784,979855,['979855']
724026,724027,['724027']
7171653,6828531,['6828531']
227277,4080396,['4080396']
943304,91963,['91963']
4134276,3981395,['3981395']
5359009,45282,['45282']
5757560,5302435,['5302435']
1036788,440495; 895245,"['440495', '895245']"
2751773,2751791,['2751791']
1340142,930256,['930256']
3221574,3073200,['3073200']
915293,804633,['804633']
1062808,651903,['651903']
1091022,966642,['966642']
5281529,874231,['874231']
1423893,954784,['954784']
1792526,1364481,['1364481']
3944768,3944769,['3944769']
6489652,5590765,['5590765']
1555429,3008248; 3004303,['3004303']
5052384,4173720,['4173720']
429486,52913,['52913']
851189,874404,['874404']
5545967,5566656,['5566656']
6130823,6223356,['6223356']
724630,3912344,['3912344']
7310949,7315397,['7315397']
146235,2299,['2299']
3987307,3575812,['3575812']
751383,714111,['714111']
6189585,3027264; 2520279,['2520279']
5829275,2610490,['2610490']
98031,3547131,['3547131']
6080768,5619609,['5619609']
1099155,62779,['62779']
5574584,871819,['871819']
5046647,2675842; 2678411; 3076697,"['2675842', '2678411', '3076697']"
1391695,1062567,['1062567']
1590499,4071665,['4071665']
2047291,490781,['490781']
1545840,927136,['927136']
1092074,3951382; 4136835,"['3951382', '4136835']"
5151011,5211193,['5211193']
7320226,6509100,['6509100']
1014765,923969,['923969']
48994,3650937; 3659975; 3463997; 3463998; 3569058; 3923134; 3384421,['3923134']
1465834,1465961,['1465961']
5146413,1756816,['1756816']
4029917,2586290,['2586290']
716178,716167,['716167']
1610352,1161176,['1161176']
1729286,1729285,['1729285']
3991708,3991707,['3991707']
3659659,3621819; 2750330,['3621819']
1215114,487535,['487535']
5534903,5349263,['5349263']
3908401,3908400,['3908400']
3855918,3855917,['3855917']
4099313,3847397,['3847397']
6198199,6198190,['6198190']
1391621,1067178,['1067178']
5296569,5296580,['5296580']
1657737,1917730,['1917730']
683603,3622081,['3622081']
599785,227581,['227581']
5172997,5174520,['5174520']
2078573,1585263,['1585263']
5270369,5270368; 5270367,"['5270368', '5270367']"
7063418,5367542,['5367542']
4201252,4119330,['4119330']
1797051,1570853,['1570853']
446750,147799,['147799']
3943893,3891440,['3891440']
4041871,3972838,['3972838']
3991879,3875647,['3875647']
7552973,7463828,['7463828']
3913615,3913616,['3913616']
857431,4071819,['4071819']
991901,838584; 838585,"['838584', '838585']"
4147144,4147143,['4147143']
1287960,1268663,['1268663']
4013730,3960737,['3960737']
778274,484449,['484449']
733347,733346,['733346']
911984,3384840,['3384840']
2170335,2091604,['2091604']
1684066,1684066,['1684066']
2063322,4145584,['4145584']
28987,3911000,['3911000']
4180080,4180081,['4180081']
1604831,1384452,['1384452']
784970,424103,['424103']
4140140,4140139,['4140139']
64965,90035,['90035']
1209961,3949096,['3949096']
1506842,1145786,['1145786']
1721738,1304468,['1304468']
1161269,782049,['782049']
4134307,4134306,['4134306']
1222840,1230449,['1230449']
4172072,3960655,['3960655']
5902157,1590784,['1590784']
4117068,3998356,['3998356']
5814595,1534138,['1534138']
24524,24519; 6092175,"['24519', '6092175']"
1688721,1267427,['1267427']
1595577,1595577,['1595577']
1552484,1441532,['1441532']
5605340,5018160; 5018162,"['5018160', '5018162']"
5135864,3962234,['3962234']
1594479,1233993,['1233993']
2235137,5005613,['5005613']
1575469,558649,['558649']
3950597,3929072,['3929072']
4050242,4050241,['4050241']
1719115,1786585,['1786585']
5532230,1508184,['1508184']
958630,3927587,['3927587']
6235962,1512329,['1512329']
5972385,54264,['54264']
2032457,1455307,['1455307']
701340,575528,['575528']
5838831,5547277,['5547277']
5896899,4201305,['4201305']
7063380,6803106; 7050151,"['6803106', '7050151']"
5117890,5024099,['5024099']
4174941,4061256,['4061256']
784025,554023,['554023']
2015250,2015249,['2015249']
7418775,7161195,['7161195']
4098174,4098173,['4098173']
6193997,3107329,['3107329']
1568310,1158976,['1158976']
1286520,464646,['464646']
6083248,1605149,['1605149']
1045720,768190,['768190']
5798166,5554704,['5554704']
6073236,5599928,['5599928']
3306185,3306184; 3239015,['3306184']
2191996,3948311,['3948311']
5959203,5900305,['5900305']
1780292,1334325,['1334325']
1315278,1733525; 1646948,"['1733525', '1646948']"
2145337,4032316,['4032316']
404391,109459,['109459']
140426,107546,['107546']
566040,3853526,['3853526']
